2024-07-09T05:55:06.467Z FIND Found epoch range to explore:  636 640
2024-07-09T05:55:06.469Z FIND Found delinquent validators [ 'C6uqzABsRPmFd14iL9Ej36AbddVxXPJWV6jwbLZYdYJM' ]
2024-07-09T05:55:09.121Z STAKES Stake account 7jnT9aMvYM1tTWcYS4BJpbeMTPoYFhBNZM9XNbQJqYUv is de-activating:  1.014948232
2024-07-09T05:55:09.121Z STAKES Stake account 2yN5SScBcqCjR2n9xSYizicXZ26YKzR7pKCGUrrVp5Mx is de-activating:  15.829124176
2024-07-09T05:55:09.121Z STAKES Stake account ECzdbZcEeqYwfduPdoSuWZbzECSBsMAhzGApy6Lw86NH is de-activating:  1.014529722
2024-07-09T05:55:09.121Z STAKES Stake account DRoVr6QhC41VuSQpMm9tZnufA5GPE1HjKnsuKZzvVS7X is de-activating:  1.014948232
2024-07-09T05:55:09.122Z STAKES Stake account LAyHgJ5U1LTH71hk7gFsVzqARPBM5zoWg2o19d3BFoY is de-activating:  11.798403613
2024-07-09T05:55:09.122Z STAKES Stake account 4EAuhCGS6k38Zcz1gMR4MfRyKGhBs6viA5eAEVfV7mfH is activated:  15.82912418
2024-07-09T05:55:09.122Z STAKES Stake account FBEQpHjyeyTjjSLXMTH7oBT6y4H5q9tjqFmTYchdcCUE is de-activating:  1.014948232
2024-07-09T05:55:09.122Z STAKES Stake account BXvWqV2STbLrZ6P42wWtxA51d4kFmqwN8tAvS4eyZNyJ is de-activating:  1.014529722
2024-07-09T05:55:09.122Z STAKES Stake account GQ7mWVfVeMmGa19fokZfa4rzYAaxyE4wYdqgkzhekZ55 is activated:  3.09333651
2024-07-09T05:55:09.122Z STAKES Stake account 8KY7PvgQcuuJC7hEgjUX2TDPgY4B2FCD9xeo39gZcKYB is de-activating:  4.757927132
2024-07-09T05:55:09.122Z STAKES Stake account CfxdeGZ34H9dR5FmkaABNeyDdhyUhmLJheTHT2RHPLic is de-activating:  1.014529722
2024-07-09T05:55:09.123Z STAKES Stake account GMCQapXMeYj8JqAby6RgL2qhCq5rS7xUkQFcddgQV5qH is de-activating:  9.51458998
2024-07-09T05:55:09.123Z STAKES Stake account AoY38uqBR9p51hZo7oCv92FJ13urVGKUm3oYVj7jH32i is de-activating:  0.016158671
2024-07-09T05:55:09.123Z STAKES Stake account A5okuQtcX8GmyK86mwJgPdGWXZp3Z8avm3Crwz9URtfA is activated:  1.014948232
